boxerid,eigenvecscore,boxername,alias,division,bouts,KOs,rounds,stance,debut
25129,0.028631576765833364,Tae-Il Chang,NA,super flyweight,31,35%,221,southpaw,1981-10-18
37322,0.028617198770856382,Ricardo Cordoba,Maestrito,bantamweight,44,57%,284,southpaw,2000-09-23
1208,0.028367529654064423,Gregorio Vargas,Goyo,featherweight,55,56%,381,orthodox,1988-05-07
17082,0.028312713989407476,Adrian Dodson,Adrian Carew,middleweight,31,55%,146,southpaw,1993-03-31
995,0.028219727598814918,Chan Young Park,NA,bantamweight,40,40%,279,orthodox,1980-11-18
12004,0.028165293840589672,Sean O'Grady,Bubblegum Kid,lightweight,86,81%,330,orthodox,1975-01-21
36198,0.02808580881294863,Jose De Jesus,Cagüitas,light flyweight,41,54%,221,NA,1981-10-02
307790,0.027795087841064766,Fernando Beltran,Wary / Pinocho / Jr,lightweight,47,43%,310,southpaw,2000-04-14
32957,0.02779508784106461,Jeffrey Mathebula,Mongoose,super bantamweight,34,41%,230,orthodox,2001-02-17
33878,0.02775050877108963,Zolani Marali,Untouchable,super lightweight,30,43%,227,southpaw,2001-02-25
694,0.027733726621401538,John Mugabi,The Beast,super welterweight,50,78%,184,orthodox,1980-12-05
482863,0.027632630860769718,Marlon Tapales,Maranding Nightmare,super bantamweight,32,41%,220,southpaw,2008-07-18
578,0.027603830209319398,Calvin Grove,NA,featherweight,59,31%,438,orthodox,1982-06-03
13917,0.027603830209317268,Kamel Bou-Ali,NA,super featherweight,54,57%,272,NA,1977-12-15
1048,0.02754558014003909,Julio Gervacio,NA,super bantamweight,40,58%,224,NA,1985-12-21
431648,0.027503638707553638,Simphiwe Khonco,Chain Reaction,minimumweight,22,32%,141,orthodox,2007-09-15
3735,0.02733529019391205,Rolando Bohol,NA,bantamweight,52,13%,430,southpaw,1984-01-18
86492,0.027327119879960015,Ricardo Torres,Mochuelo,super lightweight,35,83%,130,orthodox,2001-03-30
451052,0.027274858793274587,Jesus Silvestre,Negrito,super flyweight,41,59%,221,orthodox,2006-12-14
6435,0.027274858793274202,Israel Cardona,Pito,lightweight,46,61%,242,orthodox,1993-02-12
613846,0.02727485879327391,Joseph Parker,NA,heavyweight,23,78%,111,orthodox,2012-07-05
272717,0.027274858793273907,Kell Brook,The Special One / Special K,welterweight,38,66%,195,orthodox,2004-09-17
466535,0.027274858793273606,Liam Smith,'Beefy',super welterweight,27,52%,148,orthodox,2008-10-10
518703,0.02727485879327359,Jack Culcay,Golden Jack,super welterweight,24,46%,176,orthodox,2009-12-19
256942,0.02727485879327356,Lucas Martin Matthysse,La Máquina,welterweight,43,81%,181,orthodox,2004-06-04
468475,0.027274858793273384,Jessie Vargas,Ruthless,welterweight,29,34%,201,orthodox,2008-09-05
530410,0.027274858793273345,Youri Kayembre Kalenga,El Toro,cruiserweight,26,62%,140,orthodox,2010-02-27
4871,0.02727485879327318,Rafael Torres,NA,flyweight,25,12%,191,southpaw,1986-03-11
3021,0.027274858793273172,Mike Johnson,NA,super lightweight,42,40%,258,orthodox,1984-01-27
14761,0.02727485879327298,Jorge Mata,NA,minimumweight,14,43%,88,orthodox,1998-11-22
24450,0.027274858793272964,Nobuhiro Ishida,NA,super welterweight,40,28%,299,orthodox,2000-05-20
613052,0.027274858793272863,Emanuel Lopez,Pollo,featherweight,32,34%,241,NA,2010-07-29
15059,0.02727485879327271,Jason Cook,'The Power',lightweight,37,43%,182,orthodox,1996-10-11
178678,0.027274858793272582,Lee Haskins,'Playboy',bantamweight,37,38%,231,southpaw,2003-03-06
4780,0.02727485879327209,Joey Gamache,NA,super featherweight,59,64%,352,orthodox,1987-05-01
343110,0.027274858793271663,Richar Abril,NA,super lightweight,24,33%,156,orthodox,2005-12-09
441161,0.027274858793270598,Carlos Zambrano,Mina,featherweight,27,41%,155,orthodox,2008-01-31
2941,0.027274858793270584,Satoshi Shingaki,NA,bantamweight,15,53%,102,southpaw,1982-10-04
7803,0.027274858793270528,Freeman Barr,The Natural,middleweight,33,45%,208,orthodox,1993-02-26
114281,0.02727485879327036,Sebastian Sylvester,Hurrikan,middleweight,40,40%,304,orthodox,2002-05-26
16178,0.027274858793270115,Jimmy Ellis,NA,heavyweight,53,45%,341,orthodox,1961-04-19
554173,0.027256008014726562,Paul Butler,'Baby Faced Assassin',bantamweight,25,52%,158,orthodox,2010-12-11
11480,0.02716658629678286,Hiroyuki Ebihara,NA,flyweight,68,49%,459,southpaw,1959-09-20
9524,0.02715786640247652,Rolando Navarrete,Bad Boy from Dadiangas,super featherweight,74,45%,521,southpaw,1973-02-17
51405,0.026698002241427234,Kendall Holt,Rated R,super lightweight,34,47%,192,orthodox,2001-03-30
12668,0.02669048465885331,Duilio Loi,NA,super lightweight,126,21%,1221,orthodox,1948-11-01
52608,0.02665012114858901,Shigeo Nakajima,NA,light flyweight,19,37%,148,orthodox,1976-07-12
337404,0.026630869071762275,Tsiko Mulovhedzi,Cruel Junior,welterweight,22,27%,142,NA,2005-07-22
482499,0.02663086907175759,Billy Joe Saunders,'Superb',middleweight,24,50%,151,southpaw,2009-02-28
285564,0.026619225389428826,Yota Sato,NA,super flyweight,30,40%,181,orthodox,2004-02-16
8962,0.026577374190548203,Vivian Harris,Vicious,welterweight,47,40%,283,orthodox,1997-11-04
13017,0.026401769628814617,Jung-Il Byun,NA,bantamweight,12,33%,110,southpaw,1990-02-18
22453,0.026351806859089773,Travis Simms,Tremendous,middleweight,29,69%,132,southpaw,1998-02-10
34391,0.026313299489059885,Samuth Sithnaruepol,WatcharachaiSornprasert,light flyweight,48,38%,289,NA,1982-01-01
14602,0.026262561135434934,Manny Siaca,NA,super middleweight,33,61%,155,orthodox,1997-04-19
3554,0.026206272606787283,Anatoly Alexandrov,NA,super featherweight,43,37%,319,orthodox,1990-09-29
247,0.02617376929706523,Trevor Berbick,NA,heavyweight,61,54%,442,orthodox,1976-09-27
14981,0.02598687935025224,Nicky Cook,Cookie,super featherweight,33,48%,176,orthodox,1998-12-11
7626,0.025986879350250316,Amado Cabato,Chiba,lightweight,80,29%,627,NA,1981-02-28
3728,0.025986879350249296,James Page,Mighty Quinn,welterweight,30,63%,147,orthodox,1990-12-19
17669,0.0259868793502487,Jose Antonio Rivera,El Gallo,super welterweight,48,50%,283,orthodox,1992-11-07
4414,0.025986879350247082,Todd Nadon,NA,super middleweight,20,30%,106,southpaw,1987-11-19
4419,0.02598687935024131,Edison Torres,El Guapito,bantamweight,80,35%,633,orthodox,1989-02-27
1374,0.025844307130763033,Pedro Decima,NA,super bantamweight,36,58%,211,orthodox,1984-11-17
12683,0.025843770523255115,Sugar Ramos,Sugar,featherweight,66,61%,454,orthodox,1957-10-05
48944,0.0258437705232551,Jose Ruiz,Cheito,super flyweight,26,35%,179,NA,1984-07-13
2501,0.025843770523253824,Jorge Lujan,Mocho,bantamweight,36,44%,334,orthodox,1973-06-16
8267,0.025843770523252055,Juan Carlos Gomez,Pantera Negra / Black Panther,cruiserweight,60,67%,329,southpaw,1995-05-20
397355,0.02584377052325161,Thabo Sonjica,NA,featherweight,23,65%,89,southpaw,2007-06-03
744,0.025788027370461222,Prudencio Cardona,NA,flyweight,64,42%,424,NA,1973-11-02
504563,0.02560215821790836,Julio Ceja,Pollito,super bantamweight,33,85%,138,orthodox,2009-07-17
178679,0.025532938984286553,Ovill McKenzie,'The Upsetter',cruiserweight,38,34%,187,orthodox,2003-03-06
267609,0.0254395338207894,Darren Barker,'Dazzling',middleweight,28,57%,175,orthodox,2004-09-24
463702,0.025439533820789065,Renold Quinlan,Dunghutti Destroyer,super middleweight,13,54%,66,orthodox,2008-07-30
14180,0.025433940796248406,Lovemore Ndou,The Black Panther,welterweight,64,48%,445,orthodox,1993-04-11
5650,0.025311963811726845,Paul Ingle,Yorkshire Hunter,featherweight,25,64%,175,orthodox,1994-03-23
49176,0.025309769496162055,Frank Cedeno,Franklin Sedenio,flyweight,56,41%,451,southpaw,1976-11-20
8896,0.02523304225702663,Jose Valdez,Pepillo,bantamweight,55,53%,395,southpaw,1983-04-14
2570,0.025128226388245245,Juan Laporte,NA,featherweight,57,39%,457,orthodox,1977-10-29
289944,0.025078547959708673,Emmanuel Tagoe,The Gameboy,lightweight,28,46%,195,orthodox,2004-06-19
12608,0.024938749519392605,Salvatore Burruni,Tore,flyweight,109,30%,970,NA,1957-04-03
45689,0.02484848643169726,Yasutsune Uehara,NA,super featherweight,32,66%,203,orthodox,1972-11-14
31024,0.02461689902064767,Jean-Paul Mendy,NA,super middleweight,31,52%,187,southpaw,2000-12-22
629466,0.024616899020625665,Rau'shee Warren,NA,bantamweight,17,24%,106,southpaw,2012-11-09
14208,0.02461689902061793,Yuriy Nuzhnenko,Real Man,welterweight,35,40%,211,orthodox,2000-06-24
80099,0.02457148291642597,Ismael El Massoudi,Desert Storm,welterweight,47,30%,295,orthodox,2001-11-23
16028,0.024556520980254824,Pedro Carrasco,NA,lightweight,111,59%,685,NA,1962-10-24
5135,0.024525488983506327,Danell Nicholson,Doc,heavyweight,47,68%,195,orthodox,1992-10-14
8099,0.02441268225323722,Wandee Singwancha,Wandee Chor Chareon,super flyweight,85,21%,568,orthodox,1994-12-13
1699,0.024282482532820913,Manny Melchor,Cabalay,flyweight,79,8%,643,orthodox,1987-07-11
36171,0.02422902880587101,Ruben Dario Palacios,Huracan,featherweight,58,33%,417,orthodox,1981-04-27
30264,0.02420838639142313,Mike Anchondo,Mighty Mike,super featherweight,33,58%,158,orthodox,2000-05-06
31800,0.024204859107479403,Cornelius Bundrage,K9,super welterweight,42,48%,223,orthodox,1995-09-15
12185,0.02419801901273141,Ernesto Espana,NA,lightweight,44,66%,216,NA,1975-03-17
14452,0.024176170026991517,Sam Soliman,King,middleweight,60,32%,521,orthodox,1997-04-20
2361,0.024162241805974788,Jeff Lampkin,NA,cruiserweight,59,58%,355,orthodox,1980-06-18
34726,0.024159883167643597,Bi-Won Jung,NA,light flyweight,36,25%,272,NA,1982-02-27
988,0.024093150453606806,Troy Dorsey,NA,featherweight,30,37%,213,orthodox,1985-04-02
444007,0.024051375664747455,Zhanat Zhakiyanov,ZZ,bantamweight,28,64%,130,orthodox,2007-08-03
6622,0.024002137237682623,Lakva Sim,NA,super featherweight,26,69%,170,orthodox,1995-12-28
432,0.023867465414296064,Tim Witherspoon,Terrible,heavyweight,69,55%,426,orthodox,1979-10-30
4744,0.023697138118228968,Mauro Galvano,NA,super middleweight,40,18%,307,NA,1986-02-26
372455,0.023654899685940856,David Sanchez,Tornado,super flyweight,37,62%,185,orthodox,2008-04-25
8415,0.023608807070216557,Jaime Garza,NA,super bantamweight,54,81%,185,orthodox,1978-02-04
381116,0.023528731962499834,Ryo Miyazaki,NA,light flyweight,29,52%,174,orthodox,2006-12-24
292550,0.023401055161104363,Raul Garcia,Rayito,light flyweight,43,53%,293,southpaw,2004-07-02
9510,0.02336593583037229,Royal Kobayashi,NA,super bantamweight,43,63%,291,orthodox,1973-02-25
539,0.023263516502089725,Donny Lalonde,Golden Boy,light heavyweight,47,70%,238,orthodox,1980-04-24
3354,0.02324455645282007,Carlos Murillo,Puas,light flyweight,50,58%,309,orthodox,1990-05-05
214255,0.022981593983220295,Stanislav Kashtanov,Stas,super middleweight,37,57%,211,orthodox,2003-07-01
46400,0.022981593983219934,Hwan-Kil Yuh,NA,super featherweight,31,35%,235,NA,1979-03-18
288697,0.0229815939832199,Alfredo Angulo,Perro,super middleweight,30,67%,149,orthodox,2005-01-06
17083,0.022981593983219313,Newton Villarreal,NA,super lightweight,28,75%,125,NA,1996-10-04
4130,0.02298159398321922,Mihai Leu,Michael Loewe,welterweight,28,36%,182,orthodox,1991-09-16
5869,0.022981593983218907,Johnny Bizzarro,Boy(Junior),welterweight,51,24%,333,orthodox,1983-11-04
528949,0.022981593983218803,Luis Ortiz,King Kong,heavyweight,29,79%,121,southpaw,2010-02-16
51298,0.022981593983218626,Jaime Rios,Cieguito,flyweight,28,36%,232,orthodox,1973-07-28
20149,0.022981593983218352,Julio Diaz,The Kidd,lightweight,51,57%,305,orthodox,1999-02-06
33098,0.022981593983218262,Rafael Ortega,El Brujo,featherweight,31,19%,256,orthodox,1970-01-24
4167,0.022981593983217186,Gilbert Dele,NA,super welterweight,38,61%,241,southpaw,1986-10-13
4165,0.022981593983216947,Glenn McCrory,NA,cruiserweight,39,31%,253,NA,1984-02-06
15508,0.022981593983216742,Wayne Braithwaite,Big Truck,cruiserweight,30,67%,155,southpaw,1997-02-28
5639,0.022981593983216638,Leavander Johnson,NA,lightweight,42,62%,204,orthodox,1989-02-14
3748,0.022981593983216416,Francesco Damiani,NA,heavyweight,32,75%,151,orthodox,1985-01-05
9785,0.022981593983215583,Denny Moyer,NA,middleweight,141,18%,1302,orthodox,1957-08-17
102501,0.022957380524229923,Alejandro Hernandez,Payasito / Little Clown,super bantamweight,46,35%,346,orthodox,2002-04-06
15215,0.022885631704547684,Beibis Mendoza,Candela,light flyweight,34,71%,169,orthodox,1996-11-01
43554,0.022764810030140397,Jose Hernandez,NA,super welterweight,105,21%,824,NA,1966-01-29
291908,0.022737806324740133,Anthony Dirrell,The Dog,super middleweight,32,75%,124,orthodox,2005-01-27
540156,0.0227230589429285,Sirichai Thaiyen,Yodmongkol Vor Saengthep/CP Fres,flyweight,49,63%,276,orthodox,2009-03-05
3889,0.02267947655970105,Paul Vaden,Ultimate,super welterweight,32,50%,216,NA,1991-04-05
36195,0.02264624507201957,Miguel Acosta,Aguacerito,super lightweight,40,58%,212,orthodox,1999-11-02
33385,0.022505070143927376,Miguel Angel Castellini,Cloroformo,super welterweight,94,54%,656,orthodox,1965-05-28
12184,0.022467594779561017,Arturo Frias,Arturo,lightweight,33,24%,198,orthodox,1975-02-07
41304,0.02239559359920828,Mario Santiago,Principe Ponce,featherweight,27,52%,158,southpaw,2001-04-27
103256,0.022337604261707555,Suriyan Satorn,Kompayak Porpramook,light flyweight,63,63%,299,orthodox,2000-01-01
7010,0.022337604261703118,Diego Morales,Pelucho,super flyweight,39,69%,195,southpaw,1996-09-30
46533,0.02224199841660138,Jong-Kwan Chung,NA,flyweight,32,22%,239,orthodox,1981-05-06
3238,0.022175875772193553,Eric Chavez,Kenta Sato,flyweight,60,42%,391,southpaw,1985-05-08
260221,0.022083003674132313,Antonio DeMarco,Tony de Marco,welterweight,39,59%,220,southpaw,2004-06-21
213913,0.0218566160380898,Rendall Munroe,'2 Tone',featherweight,34,32%,233,southpaw,2003-09-20
248956,0.02184492013227533,Simphiwe Nongqayi,Golden Master,super flyweight,21,29%,133,orthodox,2002-09-14
1551,0.021833427392038085,Daniel Londas,NA,super featherweight,68,37%,505,NA,1980-11-28
9130,0.021789049831190146,Steve Conway,Super,super welterweight,46,15%,264,southpaw,1996-02-21
371022,0.021741130001528643,Chris van Heerden,The Heat,welterweight,28,43%,209,southpaw,2006-09-06
1627,0.02173961380602138,Charles Murray,The Natural,super lightweight,53,49%,351,orthodox,1989-02-28
14663,0.0217007477804258,Eric Ortiz,NA,light flyweight,48,44%,266,orthodox,1996-02-21
629465,0.021693614540196596,Errol Spence Jr,The Truth,welterweight,22,86%,88,southpaw,2012-11-09
507154,0.02169361454019564,Yunier Dorticos,NA,cruiserweight,21,95%,59,orthodox,2009-08-14
8038,0.02155050571320227,Luis Ramon Campas,Yori Boy,middleweight,126,64%,722,orthodox,1987-07-11
437232,0.0215505057132022,Merlito Sabillo,Junjun/Tiger,light flyweight,31,42%,219,southpaw,2008-01-26
464,0.021550505713201933,Frank Tate,NA,middleweight,46,52%,351,orthodox,1984-12-07
425328,0.021550505713201395,Tony Bellew,'Bomber',cruiserweight,32,59%,211,orthodox,2007-10-06
4745,0.021550505713201107,Raul Marquez,El Diamante,super welterweight,47,62%,275,southpaw,1992-10-03
430287,0.021550505713200985,Lusanda Komanisi,Schoolboy,featherweight,23,74%,98,NA,2007-11-11
591,0.021550505713200798,Sammy Fuentes,Mangani,super lightweight,54,52%,318,NA,1982-11-20
4459,0.021550505713198723,Cesar Bazan,NA,lightweight,62,52%,369,orthodox,1992-04-13
16633,0.021550505713198633,Eddie Mustafa Muhammad,Flame,light heavyweight,59,66%,385,orthodox,1972-09-15
2191,0.02155050571319799,Angel Espada,Cholo,welterweight,59,46%,383,orthodox,1966-08-20
8961,0.021424605219265622,Paul Jones,Silky,super welterweight,44,27%,269,orthodox,1986-12-08
19911,0.021424605219265272,Kassim Ouma,The Dream,super welterweight,41,44%,299,southpaw,1998-07-10
2749,0.02125116975004855,Hilmer Kenty,James Kenty,lightweight,31,55%,199,NA,1977-10-13
91647,0.02123783442064196,Ola Afolabi,Kryptonite,cruiserweight,32,34%,203,orthodox,2002-02-14
24280,0.02114622327690509,Lunga Ntontela,Mad Dog,super flyweight,17,41%,105,southpaw,1998-06-20
11526,0.021146223276902198,Billy Irwin,The Kid,lightweight,48,63%,291,orthodox,1993-02-11
4683,0.02108540202543851,Jose Quirino,NA,super flyweight,59,25%,388,orthodox,1986-01-22
5026,0.021024096797293022,Ray Close,NA,super middleweight,29,48%,167,NA,1988-10-19
12158,0.020859937546112907,Joel Luna Zarate,NA,super flyweight,40,68%,209,orthodox,1988-09-03
49179,0.020858451589220815,Koji Kobayashi,NA,flyweight,31,48%,167,southpaw,1978-12-12
483662,0.020834961578192257,Randy Petalcorin,Razor,light flyweight,29,66%,145,southpaw,2009-03-28
1400,0.02083496157819129,Bruce Seldon,The Atlantic City Express,heavyweight,48,75%,201,orthodox,1988-10-04
213976,0.020834961578189426,Dimitri Sartison,NA,super middleweight,33,58%,193,orthodox,2003-09-23
15209,0.020772583872324876,Keitaro Hoshino,NA,minimumweight,33,18%,249,orthodox,1988-11-03
23857,0.020624559314351927,Mihaly Kotai,Tornado,super welterweight,42,38%,266,orthodox,2000-10-14
8257,0.020581202124203436,Jimmi Bredahl,NA,super featherweight,29,24%,207,southpaw,1989-03-17
3279,0.020512966717434213,Jesse Benavides,NA,super bantamweight,46,54%,280,orthodox,1984-09-27
43999,0.02038886467373798,Ishe Smith,Sugar Shay,middleweight,37,32%,244,orthodox,2000-07-29
40913,0.020364298190387542,Daniel Reyes,El Olímpico,minimumweight,48,63%,258,orthodox,1996-12-20
563,0.02024547235412946,James Smith,Bonecrusher,heavyweight,62,52%,365,orthodox,1981-11-05
628427,0.019868976995926223,Felix Valera,Mangu,light heavyweight,15,80%,50,NA,2012-09-28
30614,0.01986897699592333,Juan Antonio Guzman,Little Foreman,light flyweight,34,59%,144,orthodox,1973-01-20
11386,0.01986897699591836,Ralph Dupas,NA,welterweight,135,14%,1135,NA,1950-08-07
31593,0.019753646774417884,Jeff Lacy,Left Hook,super middleweight,34,53%,203,orthodox,2001-02-02
1514,0.019690090962175853,Khalid Rahilou,NA,super lightweight,42,38%,294,orthodox,1988-12-10
43322,0.019614684082255574,Kyu-Chul Choi,NA,super featherweight,20,50%,99,orthodox,1995-07-22
49163,0.019610104757195705,Bernabe Villacampo,NA,flyweight,65,40%,499,southpaw,1962-08-25
465244,0.01959528136427837,Koki Eto,NA,super flyweight,25,60%,138,orthodox,2008-08-11
11140,0.019360325727062106,Dong Kyun Yum,NA,super bantamweight,66,32%,547,orthodox,1970-03-07
12627,0.019046122010215202,Efren Torres,El Alacrán,flyweight,74,55%,469,orthodox,1959-02-28
14186,0.01903269220739582,Michael Brodie,Mikie,featherweight,41,59%,251,orthodox,1994-10-03
5986,0.01897119150921433,Edgar Cardenas,Tun Tun,light flyweight,44,36%,307,orthodox,1991-10-05
434878,0.018917109087446655,Mario Rodriguez,Dragoncito,light flyweight,38,32%,265,orthodox,2005-12-17
456722,0.01891710908744654,Rey Loreto,Hitman,light flyweight,36,42%,183,southpaw,2008-06-07
85929,0.018754936574279204,Susumu Hanagata,NA,flyweight,65,12%,490,orthodox,1963-11-01
1571,0.018688329173166845,Eddie Hopson,Fast,super featherweight,32,44%,185,southpaw,1989-02-04
32930,0.018688329173166776,Alex Arthur,Amazing,super featherweight,34,62%,199,orthodox,2000-11-25
542148,0.018688329173166728,Rey Vargas,NA,super bantamweight,29,76%,140,orthodox,2010-04-10
649293,0.018688329173166717,Yutthana Kaensa,Stamp Kiatniwat / Sithmorseng,flyweight,17,35%,120,orthodox,2013-04-18
53710,0.01868832917316671,Jackson Asiku,Action,featherweight,31,45%,182,orthodox,2000-12-01
4456,0.0186883291731667,Antonio Hernandez,Monito,super featherweight,77,53%,461,orthodox,1988-01-01
2317,0.018688329173166658,Mike Rossman,Jewish Bomber,light heavyweight,54,50%,364,orthodox,1973-08-10
8454,0.018688329173166658,Jean-Baptiste Mendy,NA,lightweight,67,46%,447,southpaw,1983-01-15
5259,0.018688329173166634,Keith Mullings,Brooklyn Assassin,super welterweight,25,44%,162,orthodox,1993-07-24
525227,0.018688329173166627,Jose Benavidez,Merciless,welterweight,25,64%,114,orthodox,2010-01-16
526602,0.018688329173166623,McJoe Arroyo,NA,super flyweight,18,44%,108,southpaw,2010-02-27
22428,0.018688329173166558,Raul Rojas,NA,featherweight,47,51%,345,orthodox,1963-01-15
391407,0.018688329173166547,Lwandile Sityatha,NA,bantamweight,26,27%,183,orthodox,2007-04-15
18537,0.018688329173166502,Peter Manfredo Jr,The Pride Of Providence,super middleweight,48,44%,290,orthodox,2000-09-22
483657,0.018688329173166426,Jezreel Corrales,El Invisible,super featherweight,23,35%,127,southpaw,2009-02-13
7490,0.018688329173166405,Istvan Kovacs,Ko-Ko / The Cobra,featherweight,23,48%,139,orthodox,1997-12-13
18397,0.018688329173166342,Bernard Benton,The Bull,cruiserweight,28,32%,171,NA,1981-06-12
116364,0.018688329173166315,Marco Antonio Rubio,El Veneno,middleweight,68,75%,329,orthodox,2000-05-17
4389,0.018688329173166304,Darrell Hiles,NA,super lightweight,37,19%,266,NA,1990-04-21
319875,0.018688329173166207,Drian Francisco,Gintong Kamao,featherweight,34,65%,182,orthodox,2005-04-29
15495,0.01868832917316619,Radford Beasley,The Man,featherweight,26,54%,117,orthodox,1996-04-22
459,0.01868832917316615,Mark Medal,NA,super welterweight,28,71%,151,orthodox,1979-10-04
33880,0.018688329173166048,Ali Funeka,Rush Hour,welterweight,48,65%,261,orthodox,1995-09-24
331008,0.018688329173166013,Milan Melindo,El Metodico/Method Man,light flyweight,38,34%,276,orthodox,2005-09-17
1741,0.01868832917316601,J.B. Williamson,NA,light heavyweight,43,23%,284,NA,1979-10-27
288581,0.018688329173166006,Humberto Mauro Gutierrez,Cachorrito/Betillo,light heavyweight,40,55%,221,southpaw,2004-09-17
499034,0.018688329173166,Blake Caparello,Il Capo,super middleweight,27,30%,207,southpaw,2009-08-16
9279,0.018688329173166,Noel Wilders,NA,bantamweight,29,24%,201,southpaw,1996-03-16
5533,0.018688329173165968,John Avila,John Albert Avila,super lightweight,27,44%,172,NA,1991-11-29
251582,0.01868832917316589,Jean Piero Perez,NA,super flyweight,31,45%,165,orthodox,2004-04-24
16157,0.01868832917316588,Patrick Goossen,P.J.,super welterweight,22,59%,117,orthodox,1992-05-26
7776,0.018688329173165853,Booker T Word,NA,light heavyweight,37,46%,169,NA,1985-02-08
629933,0.01868832917316585,Oscar Valdez,NA,featherweight,22,86%,99,orthodox,2012-11-03
7109,0.018688329173165825,Kevin Lueshing,The Look,welterweight,25,68%,100,orthodox,1991-09-30
51117,0.01868832917316582,Gustavo Ballas,Mandrake,super flyweight,120,24%,1059,orthodox,1976-12-01
225386,0.01868832917316581,Tshifhiwa Munyai,The Atomic Spider,featherweight,33,48%,221,orthodox,2003-12-06
43858,0.01868832917316581,Tadashi Mihara,NA,super welterweight,25,60%,183,orthodox,1978-06-22
489,0.018688329173165808,Freddie Pendleton,Fearless,lightweight,78,45%,473,orthodox,1981-11-05
4902,0.0186883291731658,Willy Wise,Slick,welterweight,41,17%,276,orthodox,1988-12-15
41585,0.018688329173165767,Fulgencio Zuniga,NA,cruiserweight,43,58%,227,orthodox,2001-02-11
41391,0.018688329173165756,Eddie White,Ed White,super middleweight,19,58%,59,NA,1994-05-18
74689,0.018688329173165756,Alejandro Garcia,Terra,super welterweight,32,75%,135,orthodox,2000-02-04
2109,0.018688329173165735,Arthur Williams,King,cruiserweight,65,46%,399,orthodox,1989-11-30
168317,0.018688329173165732,Derry Mathews,'Dirty',lightweight,52,38%,295,orthodox,2003-01-18
31911,0.018688329173165732,Monelisi Myekeni,Showtime,light flyweight,24,33%,173,orthodox,1997-08-02
12991,0.01868832917316564,Gary Hinton,NA,super lightweight,36,31%,271,southpaw,1978-01-24
38558,0.01868832917316563,Grigory Drozd,Pretty Boy,cruiserweight,41,68%,250,orthodox,2001-04-13
7896,0.01868832917316563,Rick Thornberry,The Gatton Tiger,super middleweight,32,38%,237,orthodox,1985-12-14
450528,0.018688329173165628,Tatsuya Fukuhara,NA,minimumweight,29,24%,158,southpaw,2008-04-14
7876,0.018688329173165614,Jason Booth,'2 Smooth',super bantamweight,53,28%,420,orthodox,1996-06-13
14050,0.01868832917316561,Vicente Mosquera,El Loco,super featherweight,37,49%,247,orthodox,1998-02-14
8279,0.018688329173165586,Julio Cesar Green,NA,middleweight,34,56%,190,orthodox,1990-10-30
2629,0.018688329173165517,Murray Sutherland,David,light heavyweight,62,63%,344,orthodox,1977-08-18
228,0.018688329173165492,Alberto Davila,Tweety,bantamweight,67,39%,528,orthodox,1973-03-01
545863,0.018688329173165458,Xolisani Ndongeni,Nomeva (The Wasp),lightweight,22,50%,137,orthodox,2010-05-29
129817,0.01868832917316545,Cesar Rene Cuenca,El Distinto,super lightweight,52,4%,401,southpaw,2002-08-10
4175,0.01868832917316545,Glenwood Brown,The Real Beast,welterweight,60,48%,376,NA,1986-06-19
18506,0.018688329173165423,Sergey Devakov,NA,super bantamweight,40,50%,241,NA,1992-10-07
34651,0.018688329173165357,Adrian Diaconu,The Shark,light heavyweight,30,50%,179,orthodox,2001-03-02
559909,0.018688329173165322,Jose Pedraza,Sniper,super featherweight,23,52%,149,orthodox,2011-02-18
5694,0.018688329173165305,John Roby,Jackhammer,lightweight,48,17%,222,orthodox,1988-08-01
512058,0.01868832917316528,Yonfrez Parejo,El Verdugo,super bantamweight,22,41%,137,orthodox,2009-10-03
16770,0.01868832917316526,Willie Ball,NA,super middleweight,30,13%,173,orthodox,1989-01-03
4434,0.018688329173165246,Noel Tunacao,The Eel,flyweight,54,37%,382,orthodox,1990-01-13
184158,0.01868832917316523,Sammy Gutierrez,Guty,light flyweight,46,50%,304,orthodox,2003-04-10
1746,0.01868832917316522,William Guthrie,KO King,light heavyweight,42,67%,180,southpaw,1989-05-01
546386,0.018688329173165194,Alfonso Blanco,NA,middleweight,13,38%,63,orthodox,2010-09-17
214425,0.01868832917316518,Juan Urango,Iron Twin,super lightweight,28,68%,156,southpaw,2002-04-30
18262,0.01868832917316516,Johnny Bumphus,Bump City,super lightweight,31,65%,195,southpaw,1980-11-08
451354,0.018688329173165125,Dejan Zlaticanin,Dynamite,lightweight,23,65%,104,southpaw,2008-05-03
24917,0.01868832917316477,Eidy Moya,El Terrible,bantamweight,19,42%,131,orthodox,1994-07-23
4909,0.01868832917316472,Verdell Smith,Tim Brooks/Tommy Bowles,welterweight,118,15%,666,orthodox,1988-05-31
643387,0.018688329173163928,Gervonta Davis,Tank,super featherweight,18,94%,53,southpaw,2013-02-22
6231,0.018688329173163806,Lenny LaPaglia,TheRage,light heavyweight,45,73%,155,orthodox,1980-12-11
963,0.018688329173163747,Jesus Chong,El Tigre,light flyweight,48,58%,353,NA,1987-09-01
8890,0.018688329173163713,Charlie Brown,Choo Choo,super lightweight,44,41%,249,orthodox,1979-04-10
344849,0.018688329173163626,Andy Lee,'Irish',middleweight,39,62%,227,southpaw,2006-03-10
455293,0.01868832917316362,Oscar Escandon,El Guerrero,featherweight,28,61%,148,orthodox,2008-06-06
